Titles,SubTitle,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Employment type,Working Condition,Internship info,Educations,Dates,Job Places,Demands,Responsibilities,Professional skills,Soft skills,Languages
Ас бөлме жұмысшысы,Кофе-леди,Тұру және тамақтану,215 000 тг. бастап,"""Болашақ- Атырау"" жауапкершілігі шектеулі серіктестігі",Астана қ.,2 жыл жұмыс өтілі,толық жұмыс күні,уақытша,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,1,,,"Ежедневная чистка кофемашин, чайников, термосов и другого оборудования.;
                                            



                                                Заваривание чая, кофе, приготовление других горячих и холодных напитков.;
                                            



                                                Своевременная подача напитков в кабинеты руководства, на совещания, переговоры и встречи.;
                                            



                                                Обслуживание зоны ресепшн, конференц-залов и клиентских зон.;
                                            



                                                Контроль технического состояния оборудования, при необходимости – вызов мастера.;
                                            



                                                Ведение учета расходных материалов.;
                                            



                                                Своевременное пополнение запасов чая, кофе, сахара, сливок, одноразовой посуды и других сопутствующих товаров.;
                                            



                                                Поддержание ассортимента напитков в соответствии с запросами сотрудников и гостей.;","Жауапкершілік;
                                        

                                            Күйзеліске тұрақтылық;
                                        

                                            Сыпайылық;",
Домна пешінің бункершісі,Бункеровщик доменной печи ДОМЕННЫЙ ЦЕХ,Өндіріс,305 040 тг. бастап,"""Qarmet"" Акционерлік қоғамы","Қарағанды облысы, Теміртау қ.",1 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,ауыр және зиян,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,"Наличие соответствующего образования;
                                            



                                                опыт работы, желателен;",Жауапкершілік;,
Сәулетші-дизайнер,Графический дизайн,Құрылыс және сәулет,,"""A-Event KZ"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Сарыарқа"" ауданы",Еңбек өтілі жоқ,,уақытша,,,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,Создание графического дизайна интерьера.,,Дербестік және жауапкершілік;,
Бағдарламалық қамсыздандыруды әзірлеуші,,IT және телекоммуникациялар,,"""13LAB"" жауапкершілігі шектеулі серіктестігі",Астана қ.,Еңбек өтілі жоқ,,уақытша,,,техникалық және кәсіби,08.05.2025 жарияланды,10,,"Разрабатывать программное обеспечение с командой.
Необходимые навыки:
- Front-End: HTML, CSS, React, UI framework (например, material ui)
- Back-End: Python, Java или Node.js",,"Жауапкершілік;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Мотивация;
                                        

                                            Agile ойлау принциптері;",
Заңгер,Ведущий юрист сектора правового сопровождения нефтегазовых проектов и транспортировки нефти и газа управления правового сопровождения международной деятельности департамента по правовому обеспечению,,85 000 тг. бастап,"""ҚазМұнайГаз"" ұлттық компаниясы акционерлік қоғамы",Астана қ.,4 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,"В АО НК «КазМунайГаз» требуется ведущий юрист сектора правового сопровождения нефтегазовых проектов и транспортировки нефти и газа управления правового сопровождения международной деятельности департамента по правовому обеспечению
Требования:
Образование:

Высшее (или послевузовское) образование.
Юриспруденция/ международное право.
свободное владение английским языком
Дополнительно (желательно, но не обязательно):
Степень магистра права или прохождение курса обучения по нефтегазовому праву/ обучение по международному праву (экспортные рынки).

Опыт работы в профессиональной сфере или в областях, соответствующих функциональным направлениям должности:

не менее 4 лет стажа работы в области юриспруденции (желательно в нефтегазовых компаниях)
опыт работы в крупных (международных) компаниях в области нефтегазовой промышленности;
опыт разработки и реализации масштабных проектов трансформации/проектов в области реорганизации/оптимизации операционных бизнес-процессов и повышения операционной эффективности; 
опыт успешного взаимодействия с государственными органами и профсоюзами;
опыт корпоративного управления;
опыт ведения переговоров с партнерами;
опыт проведения сделок слияния и поглощения (желательно).

Знания и навыки, необходимые для исполнения должностных обязанностей:

специализированные юридические знания законодательства и правоприменительной практики Республики Казахстан в области, включая, но, не ограничиваясь: гражданского, гражданского процессуального и административного процедурно-процессуального законодательства Республики Казахстан;  корпоративного, административного, экологического и иного законодательства Республики Казахстан; законодательство о недрах и недропользовании и др.
знание нормативно - правовой базы Казахстана и международных актов, регулирующих вопросы добычи, переработки и маркетинга нефти и газа;
знание правового регулирования в сфере экспорта углеводородов, включая вопросы таможенного законодательства и международной торговли;
знание международных стандартов и практик (договоры поставок, транспортировки и переработки);
знание Международных арбитражных процедур;
навыки составления, анализа и экспертизы договоров на транспортировку, переработку и маркетинг нефти и газа;
навыки сопровождения сделок, в том числе международных контрактов;
навыки переговоров и медиации с контрагентами и партнерами;
владение государственным и русским языком, владение английским языком на уровне А1: Beginner (начальный) (желательно).

Функциональные обязанности на данной должности:

осуществляет правовое сопровождение Международной деятельности, правовой анализ и разработку совместно с другими структурными подразделениями КМГ контрактов, договоров, соглашений, сделок, протоколов о намерениях и меморандумов, заключаемых в рамках осуществления КМГ и/или ДЗО Международной деятельности на предмет соответствия законодательству Республики Казахстан, международным договорам, внутренним документам КМГ, решениям органов корпоративного управления КМГ и иным, обязательным для КМГ документам; 
идентифицирует правовые риски КМГ и ДЗО, проводит анализ, нивелирование, оценку и минимизацию  правовых рисков КМГ и ДЗО в рамках осуществления Международной деятельности;
консультирует и осуществляет подготовку разъяснений положений законодательства и контрактов, договоров, соглашений, сделок, протоколов о намерениях и меморандумов, заключенных в рамках осуществления Международной деятельности в установленном порядке;
при необходимости осуществляет правовое обеспечение переговоров и участвует в переговорах, связанных с Международной деятельностью;
осуществляет правовое сопровождение процесса досудебного/доарбитражного и судебного/ арбитражного урегулирования, исполнительного производства КМГ и/или ДЗО по поручению руководства КМГ (ведение претензионно-исковой работы, переговоры, переписка, взаимодействие со структурными подразделениями, консультантами и иными заинтересованными сторонами, подготовка юридических заключений, представление и защита интересов);
взаимодействует в установленном порядке с акционерами КМГ и юридическими службами ДЗО, координирует деятельность ДЗО в рамках компетенции департамента;
участвует в консультативно-совещательных органах КМГ и в операционных комитетах и иных органах управления проектами (включая но не ограничиваясь: комитеты, комиссии, рабочие группы) по вопросам, относящимся к компетенции департамента;
осуществляет правовую экспертизу в соответствии с законодательством Республики Казахстан и внутренними документами КМГ, ДЗО и АО «Самрук-Қазына» вопросов и материалов, выносимых на рассмотрение органов КМГ, органов (включая операционные комитеты и иные органы управления проектами) ДЗО (Общее собрание акционеров/участников, Совета директоров/Наблюдательный совет), проектов решений и пояснительных записок, в рамках осуществления Международной деятельности;
управляет риск-факторами, реализация которых может привести к наступлению риска. Своевременно выявляет, анализирует и оценивает риски, влияющие на достижение поставленных перед ним целей; обеспечивает своевременную разработку и исполнение мероприятий по снижению рисков/риск-факторов; своевременно уведомляет ответственное подразделение (СУРиВК), своего непосредственного руководителя о любых совершенных или возможных ошибках/недостатках, которые привели или могут привести к потенциальным убыткам, о потенциальных и реализованных рисковых событиях, в порядке и сроки, установленные внутренними документами.",,,
Бас бухгалтер,Главный Бухгалтер,Қаржы және бухгалтерлік есеп,от 200 000 до 250 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",5 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,"Болжанады, төленбейді",жоғары,08.05.2025 жарияланды,1,,,"Есеп, жоспарлау және есептілік;
                                            



                                                Қызметкерлердің қызметін жоспарлау және ұйымдастыру;
                                            



                                                Қызмет түрлері бойынша жоспарлау және бақылау;
                                            



                                                Кәсіпорын қызметінің мониторингі және бағасы;
                                            



                                                Бастапқы және бухгалтерлік құжаттарды ресімдеу бойынша бақылау,;
                                            



                                                Бухгалтерлік есепті және қаржы-шаруашылық қызметті ұйымдастыру;
                                            



                                                Бюджетті атқару мәселелерінің мәртебесін бағалау;","Бейімділік;
                                        

                                            Бизнесті түсіну;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Ынтымақтастық және өзара іс-қимыл;
                                        

                                            Күйзеліске тұрақтылық;
                                        

                                            Ойлау икемділігі;
                                        

                                            Командада жұмыс істей білу;","Қазақ / жоғары деңгей
  Орыс / жоғары деңгей
 Ағылшын / орташа деңгей"
Мейіргер,Медицинская сестра в школу,Медицина және фармацевтика,от 100 000 до 120 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,1,,"Обязанности: проводит медицинский осмотр учеников; доводит до сведения педагогического коллектива школы результаты медицинского осмотра и медицинские рекомендации; ведет медицинскую документацию, установленную МЗ РК: вкладыши сведений о прививках; журнал обращений за медицинской помощью; журнал по освобождению от физкультуры","среднее медицинское образование;;
                                            



                                                опыт работы с детьми;
                                            



                                                практические навыки работы по оказанию экстренной медицинской помощи;
                                            



                                                навыки оформления школьной медицинской документации;;
                                            



                                                Алғашқы медициналық көмек көрсету;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дәлдік;",
Стратегия бөлімінің жетекшісі,Ведущий специалист управления операционной эффективностью департамента стратегии и управления эффективностью (аутстаффинг),,85 000 тг. бастап,"""ҚазМұнайГаз"" ұлттық компаниясы акционерлік қоғамы",Астана қ.,4 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,"В АО НК «КазМунайГаз» требуется ведущий специалист управления операционной эффективностью департамента стратегии и управления эффективностью (аутстаффинг)
Требования:
Образование:

Высшее (или послевузовское) образование.
инженерное дело в области нефтегазовой отрасли и/или инженерное в области химической технологии органических веществ и/или экономика и/или производственный менеджмент. 

Опыт работы в профессиональной сфере или в областях, соответствующих функциональным направлениям должности:

не менее 4 лет опыта работы в сфере производственного анализа и/или операционной эффективности и/или производственного менеджмента и/или производственного консалтинга и/или стратегического планирования и/или управления проектами в крупной и/или национальной и/или международной компании нефтегазовой отрасли и/или в центральных государственных органах курирующих нефтегазовую отрасль;
практический опыт в анализе производственных процессов, построении карты цепочки создания стоимости, индетификации потерь и узких мест;
участие в проектах по оптимизации процессов, внедрению LEAN – подходов, производственных систем, инициатив по снижению затрат и повышени. эффективности в нефтегазовой отрасли;
опыт работы с цифровыми инструментами анализа, BI-системами, моделирования производственных показателей и нормирования ресурсов;
опыт проведения диагностики бизнес-процессов AS-IS/TO-BE моделей;
опыт участия или координации проектов по оптимизации производственных и управленческих процессов, включая диагностику бизнес-процессов, разработку мероприятий по снижению затрат и повышению эффективности (желательно в группе компаний КМГ);
опыт реализации проектов, связанных с улучшением бизнес-процессов (внедрение аналитических систем);
опыт взаимодействия с функциональными заказчиками, ДЗО, проектными офисами и управленческими командами;
участие в рабочих группах и кросс-функциональных командах по разработке стратегических и операционных инициатив; 
наличие международного сертификата в области управления проектами: PMP/ IPMA/ (желательно D или С) (обязательно); 
наличие международной сертификации Lean Six Sigma (Green Belt/Black Belt) (обязательно);

Знания и навыки, необходимые для исполнения должностных обязанностей:

знание принципов и методов анализа производственных процессов, включая построение карты цепочки создания стоимости;
понимание концепций операционной эффективности бережливого производства (Lean), Six Sigma, Kaizen и других инструментов повышения производительности;
владение инструментами анализа производственных расходов (ABC-анализ, variance analysis, cost driver analysis и др.)
знание подходов к нормированию и моделированию ресурсных затрат, расчёту производственных коэффициентов и бенчмаркингу;
знание особенностей нефтегазового бизнеса, включая процессы добычи, переработки, транспортировки и сбыта;
знание принципов и методик построения и анализа бизнес-процессов, в том числе BPMN, SIPOC, VSM;  
умение проводить бенчмаркинг, сравнивать ДЗО по показателям, выявлять лучшие практики и обосновывать предложения для руководства;
аналитические и технические навыки: уверенное владение Excel (формулы, сводные таблицы, визуализация) и PowerPoint для подготовки аналитических материалов;
навыки работы с PowerBI или аналогичными BI инструментами для визуализации и анализа данных;
базовые знания SQL, Python, либо других средств обработки данных-являются преимуществом;
умение формулировать выводы и рекомендации, доносить их до руководства и заинтересованных сторон;
опыт работы в межфункциональных командах;
навыки подготовки презентаций, отчётов, паспортов инициатив, сопровождения реализации предложений по улучшению;
владение государственным и русским языком, владение английским языком на уровне А1: Beginner (начальный) (желательно).  

Функциональные обязанности на данной должности:

Анализ текущих производственных процессов с целью выявления потерь и улучшения операционной эффективности
Проведение диагностики процессов с использованием инструментов Lean и Six Sigma (VSM, SIPOC, DMAIC и др.)
Разработка и реализация проектов улучшения по методологии Lean Six Sigma по группе компании КМГ
Формирование проектной команды, определение целей, контроль выполнения этапов проекта, оценка достигнутых результатов.
Анализ и оптимизация бизнес-процессов с использованием Lean и Six Sigma инструментов
Применение методов DMAIC, SIPOC, VSM, 5 Why, Ishikawa и др. для выявления узких мест, потерь и отклонений в процессах
Определение и нормирование удельных показателей расхода ресурсов
Разработка технико-экономических норм на материалы, энергоресурсы, технологические операции с учетом оптимального баланса качества и затрат.
Выбор реагентов, определение точек и способов ввода, расчет дозировок в зависимости от режима эксплуатации и состава среды.
Анализ эффективности действия реагентов (ингибиторов коррозии, солеотложений и др.), участие в корректировке норм расходов и потребления.
Разработка регламентов, технологических карт, паспортов, отчетов об эффективности химизации.
Поиск альтернативных реагентов, оптимизация схем дозирования, сокращение отходов.
Внедрение системы визуального менеджмента и 5С на производственных площадках
Повышение прозрачности процессов, улучшение условий труда и соблюдение принципов бережливого производства.
Обучение и развитие персонала по принципам Lean Six Sigma
Проведение тренингов, воркшопов и коуч-сессий для формирования устойчивой культуры непрерывных улучшений.
Мониторинг достигнутого эффекта от внедренных инициатив
Оценка экономического эффекта (затраты, время, качество), контроль устойчивости изменений.
Формирование отчетности по реализации Lean Six Sigma проектов на уровне подразделения и компании
Предоставление результатов руководству, подготовка презентаций, отчеты по KPI и бизнес-эффектам.
Контроль соблюдения норм и стандартов на уровне ДЗО
Проведение проверок, анализ отклонений, запуск корректирующих мероприятий
Внедрение культуры эффективности и изменений
Развивает культуру непрерывных улучшений: инициирует обучающие программы, проводит оценку потенциала команд, вовлекает персонал в процессы оптимизации.
Внедряет мотивационные механизмы, направленные на стимулирование персонала к достижению высоких результатов в части эффективности.
Обеспечивает развитие компетенций сотрудников ДЗО в области операционного совершенствования (Lean, Six Sigma, Kaizen и др.).
Создание культуры непрерывных улучшений: вовлечение сотрудников, внедрение предложений по улучшениям, проведение Kaizen-событий
Управление рисками и внутренний контроль:
управляет риск-факторами, реализация которых может привести к наступлению риска. Своевременно выявляет, анализирует и оценивает риски, влияющие на достижение поставленных перед ним целей;
обеспечивает своевременную разработку и исполнение мероприятий по снижению рисков/риск-факторов;
своевременно уведомляет ответственное подразделение (СУРиВК), своего непосредственного руководителя о любых совершенных или возможных ошибках/недостатках, которые привели или могут привести к потенциальным убыткам, о потенциальных и реализованных рисковых событиях, в порядке и сроки, установленные внутренними документами.",,,
Стратегия бөлімінің жетекшісі,Главный специалист управления операционной эффективностью департамента стратегии и управления эффективностью (аутстаффинг),,85 000 тг. бастап,"""ҚазМұнайГаз"" ұлттық компаниясы акционерлік қоғамы",Астана қ.,6 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,"В АО НК «КазМунайГаз» требуется главный специалист управления операционной эффективностью департамента стратегии и управления эффективностью (аутстаффинг)
Требования:
Образование:

инженерное дело в области нефтегазовой отрасли и/или инженерное в области химической технологии органических веществ и/или экономика и/или производственный менеджмент и/или инженерия в области электроэнергетики.
степень магистра техники и технологии по соответствующему профилю профессиональной деятельности (желательно); 
магистр бизнеса и управления или магистр бизнес - администрирования (MBA) (желательно).
наличие сертификата по системе энергоменеджмента (ISO 50001) (обязательно);
наличие сертификата о владении наилучшими доступными техниками (НДТ) (желательно);
наличие сертификата по энергосбережению и повышению энергоэффективности на предприятиях (обязательно).
наличие международного сертификата в области управления проектами: PMP/ IPMA/ (D или С) (обязательно); 
наличие международной сертификации Lean Six Sigma (Green Belt/Black Belt) (обязательно).

Опыт работы в профессиональной сфере или в областях, соответствующих функциональным направлениям должности:

не менее 6 лет стажа работы в области энергоменеджмента и/или энергоаудита и/или повышения энергоэффективности и оптимизации производственных процессов и/или операционной эффективности и/или управления производственными затратами в крупных нефтегазовых компаниях и/или крупных энергетических компаниях, из них не менее 3 лет в нефтегазовой отрасли (нефтепереработка, нефтехимия) или в капиталоёмких отраслях с высоким уровнем энергопотребления (энергетика, металлургия);
практический опыт в анализе и оптимизации производственных процессов, выявлении и устранении потерь, снижении удельного энергопотребления;
опыт построения дерева потерь и разработке мероприятий по их устранению;
опыт снижения удельных энергозатрат на единицу продукции в производственном цикле;
опыт участия или координации проектов по цифровизации, энергоучета, автоматизации мониторинга и анализа потребления энергоресурсов;
практический опыт разработки и внедрения систем энергетического менеджмента в соответствии с международными стандартами (например, ISO 50001);
опыт использования инструментов и методологий для мониторинга, анализа и отчетности в сфере энергетического менеджмента;
опыт проведения технико-экономических расчетов по внедрению энергоэффективных мероприятий;
опыт анализа и мониторинга ключевых затрат (энергия, материалы, обслуживание и др.) и проведения диагностики бизнес-процессов с целью поиска потенциала для повышения операционной эффективности;
опыт реализации проектов в рамках мероприятий Lean, Six Sigma, Kaizen, инициатив по устойчивому развитию, цифровизации мониторинга потребления энергоресурсов и ESG-проектах;
опыт разработки и внедрения систем энергоменеджмента на предприятиях промышленности или нефтегазового сектора;
преимуществом является опыт взаимодействия с международными консультантами, участие в аудитах ESG, устойчивого развития и отчетности;
опыт реализации низкоуглеродных проектов (желательно).
опыт фасилитации рабочих групп, ведения сессий по выявлению потерь и генерации улучшений;
опыт внедрения АСУ ТП, систем мониторинга энергопотребления, ERP/SCADA/EMS-систем;

Опыт работы на руководящих должностях:

Не менее 3 лет опыта работы по управлению проектами по повышению операционной и энергетической эффективности на уровне производственных активов и головного офиса в нефтегазовой отрасли. 

Знания и навыки, необходимые для исполнения должностных обязанностей:

знание законодательства Республики Казахстан в части углеродного регулирования, энергоэффективности и поддержки возобновляемых источников энергии;
знание специфики энергопотребления и потерь в производственном цикле нефтегазовой отрасли (добыча, транспортировка, переработка);
владение методами анализа и построения дерева потерь, идентификации неэффективных процессов и оборудования;
знание современных методологий повышения операционной эффективности: Lean, Six Sigma, Kaizen, ТРМ;
навыки разработки корпоративных регламентов, стандартов и методик в области энергоэффективности и ОПЭ;
навыки энергетического и производственного аудита, расчета удельных показателей и разработки мероприятий по оптимизации;
умение разрабатывать и контролировать реализацию проектных решений, оценивать их эффективность (экономия, ROI, KPI),
способность организовывать и вести проекты, управлять ресурсами, сроками и взаимодействием между подразделениями и ДЗО;
знание международных соглашений, касающихся сокращения выбросов парниковых газов и климатической ответственности;
знание принципов энергоэффективности и ресурсосбережения;
знание технологий возобновляемых источников энергии (солнечная, ветровая, гидроэнергетика и др.);
знание методов и подходов к энергоаудиту, мониторингу энергопотребления и внедрению систем энергоменеджмента (например, стандарты ISO 50001), включая международных стандартов в области управления энергией;
опыт и навыки в проведении энергоаудитов промышленных предприятий, включая предприятия нефтегазового сектора;
знание информационной политики, информационных систем автоматизированного сбора, ведения, поиска, анализа, систематизации, обработки и хранения данных;
знание управления проектами, разработки технико-экономических обоснований и сопровождения реализации проектов в области энергосбережения, повышения энергетической эффективности;
методики оценки жизненного цикла (LCA) энергетических проектов;
подтвержденные навыки проведения энергоаудита и/или технологического аудита, и/или проведения расчетов внедрения энергоэффективных мероприятий предприятий, и/или организации и внедрения системы энергоменеджмента на предприятиях промышленности или нефтегазового сектора;
подтвержденные навыки проведения расчетов внедрения энергоэффективных мероприятий на предприятиях промышленности или нефтегазового сектора;
подтвержденные навыки по организации и внедрению системы энергоменеджмента в промышленных предприятиях;
стратегическое планирование и внедрение стратегий энергоэффективности;
владение инструментами анализа данных и визуализации (Power BI, Tableau);
разработка и проведение обучающих программ и тренингов;
понимание финансового моделирования и оценки инвестиционной привлекательности проектов;
владение государственным и русским языком, владение английским языком на уровне А1: Beginner (начальный) (желательно).  

Функциональные обязанности на данной должности:

Координация и реализация мероприятий по снижению энергопотребления:
Содействует ДЗО в разработке и реализации мероприятий по снижению энергопотребления.
Контролирует и мониторит выполнение мероприятий ДЗО согласно целевым индикаторам снижения энергопотребления.
Диагностика и оптимизация процессов
Осуществляет глубокую диагностику производственных и бизнес-процессов ДЗО, выявляет узкие места, потери и отклонения от эталонных показателей.
Проводит анализ факторов, влияющих на производственные простои, перерасход ресурсов, превышение норм затрат.
Формирует «дерево потерь», оценивает уровень потенциальных улучшений и разрабатывает дорожные карты реализации, проводит причинно-следственный и факторный анализ (5 Why’s, Fishbone, ABC/XYZ, Парето);
Разрабатывает и внедряет модели бизнес-процессов ""as-is"" и ""to be"", сопровождая реализацию улучшений.
Управление проектами по операционной эффективности
Инициирует, планирует и управляет проектами по повышению операционной эффективности (в том числе по направлениям добычи, транспортировки, переработки, нефтесервисов и логистики).
Обеспечивает мониторинг целевых KPI проектов, включая экономические, производственные и организационные метрики.
Контролирует выполнение проектов в срок, в рамках бюджета и с необходимым качеством.
Внедрение системы энергоменеджмента:
Участвует во внедрении системы энергоменеджмента и интеграции её в бизнес-процессы группы КМГ.
Разрабатывает корпоративные документы по энергоменеджменту и сотрудничает с подразделениями КМГ и ДЗО для успешного внедрения систем.
Разработка и внедрение корпоративной политики в области энергоэффективности:
Разрабатывает и внедряет Политику Компании по повышению энергоэффективности и ресурсосбережения.
Систематизирует подходы к снижению энергоемкости и углеродного следа компании.
Методологическая и экспертная поддержка:
Оказывает поддержку ДЗО в реализации мер по энергоэффективности и энергосбережению.
Рекомендует внедрение новых технологий и наилучших доступных техник.
Планирование и согласование планов и бюджетов:
Рассматривает и согласовывает бизнес-планы, производственные программы и бюджеты ДЗО в области низкоуглеродного развития и энергоэффективности.
Вносит необходимые корректировки в планы и бюджеты по мере необходимости.
Расчеты, анализ и мониторинг:
Проводит расчеты по энергоэффективности и анализирует данные по потреблению топливно-энергетических ресурсов.
Формирование отчетности:
Формирует отчетность по энергосбережению и энергоэффективности для внутренних и внешних отчетных документов.
Обеспечивает участие КМГ в международных инициативах через подготовку необходимой отчетности.
Разработка и внедрение корпоративных стратегий и документов:
Участвует в разработке и внедрении стратегий, планов, правил и стандартов по реализации энергоэффективности.
Готовит материалы для утверждения на заседаниях Правления КМГ и Совета Директоров.
Коммуникация и взаимодействие:
Ведет служебную переписку и участвует в согласовании проектов внутренних документов.
Организует и проводит обучающие программы по энергосбережению и повышению энергоэффективности на предприятиях.
Взаимодействует с заинтересованными сторонами и участвует в общественных слушаниях и отраслевых программах.
Организация закупок и техническое сопровождение:
Организует закупки товаров, работ и услуг для внедрения системы энергоменеджмента через ИСЭЗ.
Ведет техническое сопровождение закупочных процедур и осуществляет делопроизводство.
Проектное управление проектами энергоэффективности:
Управляет проектами по энергосбережению и повышению энергоэффективности на предприятиях.
Координирует и сопровождает реализацию проектов организационно-методическим образом.
Управление рисками и внутренний контроль:
управляет риск-факторами, реализация которых может привести к наступлению риска. Своевременно выявляет, анализирует и оценивает риски, влияющие на достижение поставленных перед ним целей;
обеспечивает своевременную разработку и исполнение мероприятий по снижению рисков/риск-факторов;
своевременно уведомляет своего непосредственного руководителя о любых совершенных или возможных ошибках/недостатках, которые привели или могут привести к потенциальным убыткам, о потенциальных и реализованных рисковых событиях, в порядке и сроки, установленные внутренними документами.",,,
